,fixation_id,fixation_run_id,fixation_start_event_time,fixation_order_number,x,y,fixation_target,source_file_line,source_file_col,token,syntactic_category,xpath,left_pupil_diameter,right_pupil_diameter,duration
0,b4d60df6-d626-46e6-a504-7fe5a37601cc,1740778450134,133523447602133328,1,450.368,229.0,scrimage.txt,9,2,,,,3.87855,3.74593,309
1,a46c031a-5b09-4f43-84fc-a7a3590e3f27,1740778450134,133523447605382672,2,576.028,217.667,scrimage.txt,8,20,,,,3.89642,3.71066,593
2,ad8ed772-bc84-4dc4-bdea-22f810a5dd4a,1740778450134,133523447612047517,3,713.2,403.9,scrimage.txt,20,42,,,,3.79743,3.6582,191
3,d9f2ada5-9008-4ea1-89cd-610d527d61c6,1740778450134,133523447620464563,4,472.962,606.846,scrimage.txt,38,8,,,,3.83381,3.64572,266
4,5234eaac-fd1c-4f3c-abc1-4b917c65d791,1740778450134,133523447623878829,5,500.0,470.889,scrimage.txt,31,8,,,,3.75878,3.60928,186
5,0d59f226-1490-4a09-84fc-da86b9e042fb,1740778450134,133523447637131096,6,675.036,475.0,scrimage.txt,31,37,,,,3.41056,3.37516,509
6,9de11991-c2d0-4128-9bb9-736a934f8794,1740778450134,133523447665713183,7,727.5,473.25,scrimage.txt,31,41,,,,4.13424,4.01281,201
7,2f16ad65-9d7c-45a0-9226-6ddb5796dbbb,1740778450134,133523447674383433,8,729.526,439.632,scrimage.txt,29,41,,,,3.4725,3.45443,425
8,0cc9f46a-471b-4c90-a247-45872714c1ed,1740778450134,133523447690139327,9,472.365,521.175,scrimage.txt,35,5,,,,4.02116,3.88954,908
9,feffe292-617a-446b-9a91-253092f50b96,1740778450134,133523447703216466,10,463.81,472.286,scrimage.txt,35,4,,,,3.94976,3.90767,509
10,5c2d8e7f-3ec1-4795-a4bf-ba06168c55e8,1740778450134,133523447710965155,11,539.4,472.867,scrimage.txt,40,17,,,,3.72683,3.61885,342
11,4978f6c5-791f-4c0a-8a9f-bbe8e38e88b8,1740778450134,133523447723122535,12,775.579,421.579,scrimage.txt,38,51,,,,3.44663,3.35195,242
12,1f3e076f-bcf1-4f1d-91d5-6067fa8112fe,1740778450134,133523447728551177,13,903.357,422.214,scrimage.txt,38,66,,,,3.47924,3.37708,275
13,e14d62e4-1bbb-40f1-b339-0a488fe89f2d,1740778450134,133523447735719454,14,1067.92,426.25,scrimage.txt,38,94,,,,3.3068,3.1976,124
14,50b64e1d-4965-4a44-ace6-f9c035062151,1740778450134,133523447737802086,15,509.486,394.4,scrimage.txt,40,13,,,,3.36949,3.31078,294
15,d4e1c0bb-15d8-45da-b96a-2edf48dd55de,1740778450134,133523447742742198,16,470.588,375.529,scrimage.txt,38,8,,,,3.39305,3.27941,273
16,caee856a-b2a8-48f8-bd31-269997600ae7,1740778450134,133523447748684934,17,515.556,386.778,scrimage.txt,39,13,,,,3.647,3.58505,579
17,3738adbd-b00b-4093-ba1b-a2e9061f8cf4,1740778450134,133523447756552313,18,604.211,389.0,scrimage.txt,39,25,,,,3.58666,3.49898,209
18,690ff22c-08c0-4095-8868-5cfc275e40af,1740778450134,133523447760554669,19,745.929,395.118,scrimage.txt,40,44,,,,3.6337,3.61393,750
19,9658ecfb-2e48-49c6-9d00-f9b50600847a,1740778450134,133523447769804004,20,703.217,396.804,scrimage.txt,40,44,,,,3.58033,3.57132,465
20,2fce58cf-0cbe-404d-926b-f3f9af4713a6,1740778450134,133523447774635968,21,597.944,392.444,scrimage.txt,40,26,,,,3.72189,3.68879,144
21,33ee1ed2-a73a-4928-a126-a286cf4db154,1740778450134,133523447777802167,22,569.054,393.946,scrimage.txt,40,20,,,,3.80289,3.75583,726
