,fixation_id,fixation_run_id,fixation_start_event_time,fixation_order_number,x,y,fixation_target,source_file_line,source_file_col,token,syntactic_category,xpath,left_pupil_diameter,right_pupil_diameter,duration
0,629b2dc8-e6a0-4339-b6b7-c2c4d6656e46,1703705706951,133408343627237525,1,852.133,331.6,freecol.txt,78,59,,,,2.43769,2.61563,2392
1,65d2d5a0-fdb6-4df1-9e7d-8fbbc6103368,1703705706951,133408343609399946,2,836.765,319.647,freecol.txt,78,56,,,,2.53332,2.49314,926
2,b706c79b-674c-45ef-9be1-db44a6954370,1703705706951,133408343605461087,3,828.0,322.5,freecol.txt,78,53,,,,2.43433,2.4192,153
3,cbbe284a-8a87-46ac-8786-f98e04a5fb4f,1703705706951,133408343598225744,4,511.5,313.5,freecol.txt,78,12,,,,2.47717,2.56531,541
4,fb8cf29a-5d3c-4e85-b35b-668c1e94a5b0,1703705706951,133408343591482670,5,831.0,321.0,freecol.txt,78,56,,,,2.46571,2.41444,99
5,b781f006-04a3-45c0-b4dc-11bab5366625,1703705706951,133408343585902667,6,503.417,302.583,freecol.txt,78,10,,,,2.59927,2.53658,449
6,9d66cccf-f4cd-467a-9ef0-7a343a9153e0,1703705706951,133408343575902858,7,1018.25,307.583,freecol.txt,77,85,,,,2.64453,2.54697,458
7,f7a7ff5b-3d77-46ae-8402-f392f24a5588,1703705706951,133408343568734743,8,872.933,279.0,freecol.txt,75,61,,,,2.52256,2.49325,583
8,12f49ae0-5cc1-490d-acb8-22218704b61d,1703705706951,133408343563393119,9,958.333,304.667,freecol.txt,77,73,,,,2.63495,2.54275,367
9,0bdd0b80-63f9-4330-9740-8ec630e13d3d,1703705706951,133408343539962367,10,860.071,287.0,freecol.txt,75,63,,,,2.48229,2.45566,760
10,fe4a3e93-4984-40e9-83af-96629cbc1623,1703705706951,133408343527733351,11,811.273,279.455,freecol.txt,75,53,,,,2.33249,2.4217,915
11,fdcd69a0-38e2-458a-a2d2-f5c3267349d2,1703705706951,133408343503200527,12,686.176,293.412,freecol.txt,77,38,,,,2.26033,2.49783,1320
12,240b7ea0-1a7e-40e8-911d-a5c81ba970da,1703705706951,133408343485230520,13,603.458,309.042,freecol.txt,77,21,,,,2.60805,2.4713,875
13,13697695-e21a-4e11-a2d0-0437c680bc0f,1703705706951,133408343464487169,14,518.115,310.615,freecol.txt,77,11,,,,2.65499,2.55435,1825
14,8cce743b-b4e0-41fe-bf34-68d2cdbee3bc,1703705706951,133408343461813553,15,578.0,235.667,freecol.txt,72,20,,,,2.80166,2.73362,91
15,872e7398-177a-4167-941e-b0e309c72d62,1703705706951,133408343448292756,16,464.87,312.043,freecol.txt,77,2,,,,2.57426,2.51696,693
16,f00c5dff-ac3a-4645-a7a4-12a523e67049,1703705706951,133408343446642888,17,478.667,303.333,freecol.txt,77,4,,,,2.54816,2.51473,99
17,26839323-fcc6-41fb-a061-af2f54698607,1703705706951,133408343440647270,18,905.5,241.25,freecol.txt,72,65,,,,2.52985,2.4702,175
18,e38f03c8-6514-4767-a1b7-7f8bfbae7b2a,1703705706951,133408343434386254,19,1055.83,306.5,freecol.txt,77,89,,,,1.67367,2.47609,307
19,16ebfa78-8abf-42a7-96d3-b83083947ab9,1703705706951,133408343398561492,20,955.0,265.375,freecol.txt,74,74,,,,2.47266,2.46943,1803
20,d7ef56e1-a362-4c4a-96d3-d41164660e5e,1703705706951,133408343369809105,21,953.571,289.143,freecol.txt,74,74,,,,1.82356,2.53636,1384
21,d0855203-b7a4-4cad-b61f-1dface222161,1703705706951,133408343353559599,22,898.0,280.667,freecol.txt,74,67,,,,2.61476,2.51489,92
22,92b65071-5f7f-4f61-8f2e-f88d1fb74359,1703705706951,133408343334787121,23,837.667,270.417,freecol.txt,74,57,,,,2.14157,2.51638,474
23,2376fa34-f917-4f01-980e-848a2056bb80,1703705706951,133408343329806621,24,700.625,278.625,freecol.txt,75,37,,,,2.58598,2.49649,433
