participant,session,method,project,path,summary,Accuracy,Completeness,Conciseness,Clarity
23,3,7,mltk,core>BinnedAttribute.java> parse [line 66],"1. this method split and transform the string it reads in to a Binned Attribute. 2. this method get a string and split by "":"" ,""("", "")"" "";"" to transform it to demanded style, it is called in read method. 3. this method helps to extract the needed information from the raw data that it reads in.",5,4,3,3
26,5,4,mltk,core>BinnedAttribute.java> parse [line 66],Method returns a new BinnedAttribute based on input string. It parses input string and initializes arguments. Then creates new BinnedAttribute based on arguments. Used in attributes reader to parse any binned attributes.,4,2,4,3
21,3,3,mltk,core>BinnedAttribute.java> parse [line 66],"Process the string to create and return the appropriate BinnedAttribute object.  The second argument in the BinnedAttribute constructor is either from parseInt of the first part of str between ""("" and "";"" or from the boundary and median if there are at least one "";"" in str.",3,3,4,2
22,5,2,mltk,core>BinnedAttribute.java> parse [line 66],"The method parses a string representation of a BinnedAtribute and creates and returns it as an actual object.  It takes a string in the format ""<name:...(<#bins;[boundaryList];[medianList])..."" and creates a BinnedAtribute object with the same name, boundary list, and median list.  This is useful when reading model information from a file.",5,4,3,5
29,3,4,mltk,core>BinnedAttribute.java> parse [line 66],this function takes read in data and then extracts part from it getting information from a string. It does this by sectioning off information of data that are in the string format and then returns the information about the data as the form of a BinnedAttirbute. This is important in the processing of data types like getting numbers from words.,3,2,3,3
24,3,5,mltk,core>BinnedAttribute.java> parse [line 66],"This method parse the attribuiute of the bin object. It read in a String object, parse the meaning of the string by split the : mark. it then create a new bin obect when the boundaries and medians is being parsed. I think this method will convert the string obect into correct bin objects with the correct attributes.",3,2,3,2
27,4,6,mltk,core>BinnedAttribute.java> parse [line 66],"This method parses a string into a BinnedAttribute.  The format of the string is ""<attrName>: binned (<numBins>;<boundaries>;<medians>)""  This method is used when reading the binned attributes of instances from a file.",5,4,5,4
31,2,7,mltk,core>BinnedAttribute.java> parse [line 66],"This method parses a string to extract information about a BinnedAttribute and return a new instance of it. The string is first split on "": "" to get the name of the attribute and its data; from the data the number of bins is extracted, if more than one the parseDoubleArray helper method is used to find the boundaries and medians of the bins from the string and create a BinnedAttribute using those. This method is used while reading the attributes of some file.",5,4,2,4
28,5,3,mltk,core>BinnedAttribute.java> parse [line 66],"This method parses through an inputted string and returns a BinnedAttribute object with the corresponding data.  It does this by taking the string (something like `name: bin size; bin boundaries; bin medians`), and then splitting on its special characters - doing this, it returns a BinnedAttribute object with the name and the bin size if there are no boundaries and medians listed; if there are, then it parses through them and returns the object with the name and the corresponding bins.   This method seems important in creating bins that can be interacted with in other methods.",4,5,2,4
30,4,3,mltk,core>BinnedAttribute.java> parse [line 66],"This parses through an string and organizes it into bins. Parses through and split by ""():"" and organizes it into bins which is returned. This is used to organize raw data into a iterable format.",2,3,5,2
23,3,2,mltk,core>io>InstancesReader.java> parseDenseInstance [line 159],"1. this method return Instance from a string array based on the value of classIndex passed in. 2. this method is called when reading in a instance, changing ""?"" to na. 3. this method helps the whole program to load in instances from files.",3,3,4,2
21,3,5,mltk,core>io>InstancesReader.java> parseDenseInstance [line 159],Creates a vector of double using the data parameter.  The class value is either NaN if class index is negative or is the ith position of data. Returns an Instance with the vector and class value.,3,3,4,3
26,5,6,mltk,core>io>InstancesReader.java> parseDenseInstance [line 159],"Methods create a new instance from input data. It parses through input data to create a new vector, and initializes new instance with the vector. Used in other methods performing reads on instances.",4,2,4,4
22,5,8,mltk,core>io>InstancesReader.java> parseDenseInstance [line 159],The method takes a list of strings representing doubles and a target index and parses the list to create an Instance.  The data of the instance becomes the list of doubles except for the one at the index which becomes the target.  This is useful when reading instance data from a file.,5,4,4,5
